Date,Hawaii,Alaska,California,Colorado,Georgia,Montana,Texas
2020-07-05,1050,1811,,,,,
2020-07-06,1436,3090,,,,,
2020-07-07,1856,1981,,,,,
2020-07-08,2269,2343,,,,,
2020-07-09,2056,6189,,,,,
2020-07-10,2147,1444,,,,,
2020-07-11,1874,2099,,,,,
2020-07-12,1550,1115,,,,,
2020-07-13,1118,2883,,,,,
2020-07-14,,6620,,,,,
2020-07-15,,6929,,,,,
2020-07-16,,2392,,,,,
